829 1476
1 1 0.01
1 2 0.01
1 3 0.01
1 4 0.01
2 5 0.01
2 6 0.01
2 7 0.01
2 8 0.01
2 9 0.01
2 10 0.01
2 11 0.01
2 12 0.01
2 13 0.01
2 14 0.01
2 15 0.01
2 16 0.01
2 17 0.01
2 18 0.01
2 19 0.01
2 20 0.01
2 21 0.01
2 22 0.01
2 23 0.01
2 24 0.01
2 25 0.01
2 26 0.01
3 27 0.01
4 24 0.01
5 19 0.01
6 28 0.01
7 29 0.01
8 30 0.01
9 31 0.01
10 32 0.01
10 33 0.01
10 34 0.01
10 35 0.01
10 36 0.01
10 37 0.01
10 38 0.01
10 39 0.01
11 31 0.01
12 40 0.01
12 41 0.01
12 42 0.01
13 42 0.01
14 42 0.01
15 43 0.01
16 44 0.01
17 45 0.01
17 46 0.01
17 47 0.01
17 48 0.01
17 49 0.01
18 50 0.01
19 51 0.01
20 51 0.01
21 52 0.01
21 53 0.01
22 54 0.01
23 55 0.01
24 56 0.01
25 56 0.01
26 57 0.01
27 58 0.01
28 59 0.01
29 60 0.01
30 61 0.01
31 62 0.01
32 63 0.01
33 8 0.01
33 10 0.01
34 64 0.01
35 63 0.01
36 65 0.01
37 66 0.01
37 67 0.01
37 65 0.01
37 68 0.01
37 69 0.01
37 70 0.01
37 71 0.01
37 72 0.01
38 73 0.01
39 22 0.01
40 74 0.01
40 75 0.01
41 76 0.01
41 75 0.01
42 30 0.01
43 77 0.01
44 78 0.01
45 79 0.01
45 80 0.01
46 81 0.01
46 82 0.01
47 83 0.01
48 84 0.01
48 24 0.01
49 85 0.01
50 86 0.01
51 87 0.01
51 88 0.01
51 89 0.01
51 90 0.01
51 91 0.01
51 92 0.01
52 93 0.01
53 94 0.01
54 95 0.01
54 96 0.01
54 97 0.01
54 94 0.01
55 79 0.01
56 98 0.01
56 99 0.01
56 100 0.01
56 101 0.01
56 102 0.01
56 103 0.01
56 34 0.01
56 104 0.01
56 105 0.01
56 106 0.01
56 107 0.01
56 108 0.01
56 109 0.01
56 110 0.01
57 50 0.01
57 104 0.01
57 108 0.01
58 50 0.01
58 108 0.01
59 110 0.01
60 111 0.01
61 112 0.01
62 113 0.01
62 114 0.01
62 115 0.01
62 116 0.01
62 117 0.01
62 64 0.01
63 118 0.01
64 119 0.01
65 120 0.01
66 36 0.01
67 12 0.01
67 15 0.01
67 16 0.01
67 20 0.01
68 121 0.01
69 35 0.01
70 35 0.01
71 73 0.01
72 122 0.01
73 28 0.01
73 43 0.01
74 123 0.01
74 122 0.01
74 124 0.01
74 125 0.01
74 90 0.01
74 91 0.01
74 110 0.01
75 126 0.01
76 95 0.01
77 98 0.01
77 127 0.01
78 128 0.01
78 129 0.01
79 130 0.01
79 131 0.01
79 132 0.01
79 133 0.01
79 134 0.01
79 135 0.01
80 78 0.01
81 39 0.01
82 136 0.01
82 39 0.01
82 57 0.01
83 137 0.01
84 138 0.01
85 139 0.01
86 140 0.01
87 141 0.01
87 142 0.01
87 143 0.01
87 144 0.01
88 126 0.01
88 145 0.01
88 146 0.01
88 147 0.01
88 148 0.01
88 149 0.01
88 75 0.01
88 72 0.01
89 150 0.01
89 146 0.01
89 148 0.01
90 20 0.01
91 46 0.01
92 151 0.01
93 3 0.01
94 152 0.01
95 95 0.01
96 92 0.01
97 28 0.01
97 43 0.01
98 153 0.01
99 154 0.01
100 155 0.01
101 155 0.01
101 70 0.01
102 156 0.01
103 157 0.01
104 158 0.01
104 159 0.01
105 160 0.01
106 161 0.01
106 58 0.01
106 157 0.01
107 162 0.01
108 163 0.01
108 164 0.01
108 165 0.01
